edition,id,author,username,url,title,has_video,video_count,created_at,body
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTU4NF0=,,,https://contra.com/community/Y6Fleqgk-overcome-creative-block-with-our-simple, - This little app helps overcome that blockage in the most simple way. Give it ,False,0,2025-09-11T05:40:10, - This little app helps overcome that blockage in the most simple way. Give it a try (and it reminds of something specific - leave a comment with your guess) 
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2NzgzNl0=,,,https://contra.com/community/MgLMkkvF-join-the-figma-make-a-thon-showcase-your,Only two more days left to enter the Figma Make-a-thon and I’m honestly amazed b,False,0,2025-09-08T13:46:33,Only two more days left to enter the Figma Make-a-thon and I’m honestly amazed by how creative everyone has been.I’d love to get to know the creatives behind the work too!So here’s a little photo booth moment and a sneak peek of my third entry 👀 Keep an eye out for my next post so you can step into 
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDQ2NF0=,,,https://contra.com/community/Z2UobPBg-break-your-doom-scrolling-habit-with-this,"Addictive solution alert!

When boredom hits, I catch myself doom-scrolling endl",False,0,2025-09-10T18:56:54,"Addictive solution alert!

When boredom hits, I catch myself doom-scrolling endlessly—seeing everything, but remembering nothing.
So I decided to flip the script.2 days ago, I built a small experiment inside Figma Make to break this cycle. Since then, I’ve been using it religiously—no endless scroll"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2ODA4M10=,,,https://contra.com/community/kMcUBAmc-streamline-weekend-plans-with-our-innovative, submission is an app that helps you plan weekends with friends without all the ,False,0,2025-09-08T17:49:16, submission is an app that helps you plan weekends with friends without all the back-and-forth in group chats.
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2OTY1MF0=,,,https://contra.com/community/vkPALAgq-play-keyboard-warrior-interactive-rhythm-piano-game,"For the FigmaMakeathon, I built Keyboard Warrior,  a rhythm‑piano game that turn",False,0,2025-09-10T04:28:03,"For the FigmaMakeathon, I built Keyboard Warrior,  a rhythm‑piano game that turns your keyboard into an instrument. Hit notes in time with procedurally generated tracks and see how far you can push your score.✨ 10 lanes mapped to A S D F G H J K L ; 🎵 Procedural patterns so every run feels fresh🧠 Dy"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTM4NF0=,,,https://contra.com/community/ERQ66sLA-revolutionize-interior-design-with-ai-powered-tile,I was in my DIY tile era but struggled to picture how different color combos wou,False,0,2025-09-11T04:19:38,"I was in my DIY tile era but struggled to picture how different color combos would actually look together. So I built a little Tile Design Partner, a tool that lets you play around with tile color combos or upload your own design, and use AI to help you visualize how it might look in a realistic spa"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MjAwMV0=,,,https://contra.com/community/WFgFrsEg-play-bubble-chase-interactive-bubble-popping-game,"I made Bubble Chase!! Me and my fellow colleagues :  ,  ,  ,  
have made a game ",False,0,2025-09-11T07:11:19,"I made Bubble Chase!! Me and my fellow colleagues :  ,  ,  ,  
have made a game where bubbles will fall from top to bottom, the user will be prompted to use a specific element which will be then used to pop the bubbles. If the bubbles reach the end of the screen or the user uses other element to pop"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2ODE4MV0=,,,https://contra.com/community/Yg2YZOrr-digital-holographic-business-cards-with-3-d,"If business cards were still alive and went digital, they might look like this 💿",False,0,2025-09-08T19:39:03,"If business cards were still alive and went digital, they might look like this 💿

In this project, I experimented with holographic effects, blend mode overlays, and 3D motion on cursor movement 🙃

Not 100% happy, but time is ticking, so here’s my submission 🙌


My other submissions:
"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2OTcxNF0=,,,https://contra.com/community/FrvW3WsR-retro-windows-98-experience-explore-our,I just finished the first version of a retro-style Windows 98 made with Figma Ma,False,0,2025-09-10T05:25:57,"I just finished the first version of a retro-style Windows 98 made with Figma Make. There are still some improvements to work on, like refining file saving in Paint and Notepad, and making folder navigation smoother, but I’m happy with this result to present at the hackathon. Switch to desktop mode,"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk3MV0=,,,https://contra.com/community/RRvMLbEl-own-and-parses-it-automatically-lets,Adaptive A/B Insight — v1 (Make + Figma)What v1 doesLoads a sample CSV (or your ,False,0,2025-09-11T06:59:03,Adaptive A/B Insight — v1 (Make + Figma)What v1 doesLoads a sample CSV (or your own) and parses it automaticallyLets you compare segments with chips and a default Seesaw (Matter.js) viewApplies palette/theme globally across the UI and visualsGenerates a Recommendation callout based on the dataCaptur
